frame,time,mouse_id,behavior,node,x,y,z
0,0.0,0,0,back_base,1.909640625,0.0,0.5656015625
0,0.0,0,0,back_end,1.911078125,0.0,0.5201796875
0,0.0,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
0,0.0,0,0,back_middle,1.9163046875,0.0,0.5643984375
0,0.0,0,0,back_right_paw,1.869703125,0.0,0.241546875
0,0.0,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
0,0.0,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
0,0.0,0,0,nose,1.6860703125,0.0,0.44967968750000004
1,0.03333333333333333,0,0,back_base,1.909640625,0.0,0.5656015625
1,0.03333333333333333,0,0,back_end,1.911078125,0.0,0.5201796875
1,0.03333333333333333,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
1,0.03333333333333333,0,0,back_middle,1.9163046875,0.0,0.5643984375
1,0.03333333333333333,0,0,back_right_paw,1.869703125,0.0,0.241546875
1,0.03333333333333333,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
1,0.03333333333333333,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
1,0.03333333333333333,0,0,nose,1.6860703125,0.0,0.44967968750000004
2,0.06666666666666667,0,0,back_base,1.909640625,0.0,0.5656015625
2,0.06666666666666667,0,0,back_end,1.911078125,0.0,0.5201796875
2,0.06666666666666667,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
2,0.06666666666666667,0,0,back_middle,1.9163046875,0.0,0.5643984375
2,0.06666666666666667,0,0,back_right_paw,1.869703125,0.0,0.241546875
2,0.06666666666666667,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
2,0.06666666666666667,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
2,0.06666666666666667,0,0,nose,1.6860703125,0.0,0.44967968750000004
3,0.1,0,0,back_base,1.909640625,0.0,0.5656015625
3,0.1,0,0,back_end,1.911078125,0.0,0.5201796875
3,0.1,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
3,0.1,0,0,back_middle,1.9163046875,0.0,0.5643984375
3,0.1,0,0,back_right_paw,1.869703125,0.0,0.241546875
3,0.1,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
3,0.1,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
3,0.1,0,0,nose,1.6860703125,0.0,0.44967968750000004
4,0.13333333333333333,0,0,back_base,1.909640625,0.0,0.5656015625
4,0.13333333333333333,0,0,back_end,1.911078125,0.0,0.5201796875
4,0.13333333333333333,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
4,0.13333333333333333,0,0,back_middle,1.9163046875,0.0,0.5643984375
4,0.13333333333333333,0,0,back_right_paw,1.869703125,0.0,0.241546875
4,0.13333333333333333,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
4,0.13333333333333333,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
4,0.13333333333333333,0,0,nose,1.6860703125,0.0,0.44967968750000004
5,0.16666666666666666,0,0,back_base,1.909640625,0.0,0.5656015625
5,0.16666666666666666,0,0,back_end,1.911078125,0.0,0.5201796875
5,0.16666666666666666,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
5,0.16666666666666666,0,0,back_middle,1.9163046875,0.0,0.5643984375
5,0.16666666666666666,0,0,back_right_paw,1.869703125,0.0,0.241546875
5,0.16666666666666666,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
5,0.16666666666666666,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
5,0.16666666666666666,0,0,nose,1.6860703125,0.0,0.44967968750000004
6,0.2,0,0,back_base,1.909640625,0.0,0.5656015625
6,0.2,0,0,back_end,1.911078125,0.0,0.5201796875
6,0.2,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
6,0.2,0,0,back_middle,1.9163046875,0.0,0.5643984375
6,0.2,0,0,back_right_paw,1.869703125,0.0,0.241546875
6,0.2,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
6,0.2,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
6,0.2,0,0,nose,1.6860703125,0.0,0.44967968750000004
7,0.23333333333333334,0,0,back_base,1.909640625,0.0,0.5656015625
7,0.23333333333333334,0,0,back_end,1.911078125,0.0,0.5201796875
7,0.23333333333333334,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
7,0.23333333333333334,0,0,back_middle,1.9163046875,0.0,0.5643984375
7,0.23333333333333334,0,0,back_right_paw,1.869703125,0.0,0.241546875
7,0.23333333333333334,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
7,0.23333333333333334,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
7,0.23333333333333334,0,0,nose,1.6860703125,0.0,0.44967968750000004
8,0.26666666666666666,0,0,back_base,1.909640625,0.0,0.5656015625
8,0.26666666666666666,0,0,back_end,1.911078125,0.0,0.5201796875
8,0.26666666666666666,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
8,0.26666666666666666,0,0,back_middle,1.9163046875,0.0,0.5643984375
8,0.26666666666666666,0,0,back_right_paw,1.869703125,0.0,0.241546875
8,0.26666666666666666,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
8,0.26666666666666666,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
8,0.26666666666666666,0,0,nose,1.6860703125,0.0,0.44967968750000004
9,0.3,0,0,back_base,1.909640625,0.0,0.5656015625
9,0.3,0,0,back_end,1.911078125,0.0,0.5201796875
9,0.3,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
9,0.3,0,0,back_middle,1.9163046875,0.0,0.5643984375
9,0.3,0,0,back_right_paw,1.869703125,0.0,0.241546875
9,0.3,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
9,0.3,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
9,0.3,0,0,nose,1.6860703125,0.0,0.44967968750000004
10,0.3333333333333333,0,0,back_base,1.909640625,0.0,0.5656015625
10,0.3333333333333333,0,0,back_end,1.911078125,0.0,0.5201796875
10,0.3333333333333333,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
10,0.3333333333333333,0,0,back_middle,1.9163046875,0.0,0.5643984375
10,0.3333333333333333,0,0,back_right_paw,1.869703125,0.0,0.241546875
10,0.3333333333333333,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
10,0.3333333333333333,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
10,0.3333333333333333,0,0,nose,1.6860703125,0.0,0.44967968750000004
11,0.36666666666666664,0,0,back_base,1.909640625,0.0,0.5656015625
11,0.36666666666666664,0,0,back_end,1.911078125,0.0,0.5201796875
11,0.36666666666666664,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
11,0.36666666666666664,0,0,back_middle,1.9163046875,0.0,0.5643984375
11,0.36666666666666664,0,0,back_right_paw,1.869703125,0.0,0.241546875
11,0.36666666666666664,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
11,0.36666666666666664,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
11,0.36666666666666664,0,0,nose,1.6860703125,0.0,0.44967968750000004
12,0.4,0,0,back_base,1.909640625,0.0,0.5656015625
12,0.4,0,0,back_end,1.911078125,0.0,0.5201796875
12,0.4,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
12,0.4,0,0,back_middle,1.9163046875,0.0,0.5643984375
12,0.4,0,0,back_right_paw,1.869703125,0.0,0.241546875
12,0.4,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
12,0.4,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
12,0.4,0,0,nose,1.6860703125,0.0,0.44967968750000004
13,0.43333333333333335,0,0,back_base,1.909640625,0.0,0.5656015625
13,0.43333333333333335,0,0,back_end,1.911078125,0.0,0.5201796875
13,0.43333333333333335,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
13,0.43333333333333335,0,0,back_middle,1.9163046875,0.0,0.5643984375
13,0.43333333333333335,0,0,back_right_paw,1.869703125,0.0,0.241546875
13,0.43333333333333335,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
13,0.43333333333333335,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
13,0.43333333333333335,0,0,nose,1.6860703125,0.0,0.44967968750000004
14,0.4666666666666667,0,0,back_base,1.909640625,0.0,0.5656015625
14,0.4666666666666667,0,0,back_end,1.911078125,0.0,0.5201796875
14,0.4666666666666667,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
14,0.4666666666666667,0,0,back_middle,1.9163046875,0.0,0.5643984375
14,0.4666666666666667,0,0,back_right_paw,1.869703125,0.0,0.241546875
14,0.4666666666666667,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
14,0.4666666666666667,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
14,0.4666666666666667,0,0,nose,1.6860703125,0.0,0.44967968750000004
15,0.5,0,0,back_base,1.909640625,0.0,0.5656015625
15,0.5,0,0,back_end,1.911078125,0.0,0.5201796875
15,0.5,0,0,back_left_paw,1.9040937500000001,0.0,0.14940625
15,0.5,0,0,back_middle,1.9163046875,0.0,0.5643984375
15,0.5,0,0,back_right_paw,1.869703125,0.0,0.241546875
15,0.5,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
15,0.5,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
15,0.5,0,0,nose,1.6860703125,0.0,0.44967968750000004
16,0.5333333333333333,0,0,back_base,1.909640625,0.0,0.5656015625
16,0.5333333333333333,0,0,back_end,1.911078125,0.0,0.5201796875
